Method,Name,Error,Occurrences
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 189'),46
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 289'),29
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 300'),28
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 165'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 132'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 271'),27
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 240'),28
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 287'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 149'),26
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 392'),47
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 235'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 107'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 179'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 319'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 101'),31
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 161'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 314'),46
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 215'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 234'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 334'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 332'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 252'),47
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 394'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 325'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 280'),51
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 157'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 264'),28
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 203'),30
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 185'),31
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 335'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 137'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 389'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 109'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 307'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 159'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 243'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 295'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 231'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 283'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 341'),39
